27227,18431,1
79272,115069,-1
160452,173324,-1
8149,48097,-1
143594,76868,-1
120326,118918,1
91566,87488,-1
63546,49795,1
123292,111280,1
155604,88615,-1
67901,43018,1
96236,8655,-1
138154,89753,-1
149231,102300,1
32402,32139,1
94127,97513,1
9444,10990,1
61349,48841,1
8852,30931,-1
161533,162417,1
61476,171552,-1
89660,98213,-1
89823,104544,-1
14062,7395,1
128833,102582,-1
167138,150968,1
99231,72336,1
150958,10409,-1
118842,186398,-1
55907,89922,-1
18393,20551,-1
21887,26589,1
111887,74831,-1
49518,75560,-1
22013,189753,-1
58628,79277,-1
73857,193232,-1
31658,31607,1
95274,107266,1
48057,51802,1
117740,118947,1
123199,123200,1
55717,55909,1
157689,175871,-1
73354,71843,1
130194,123263,-1
71375,158307,-1
49333,44147,1
149656,149199,1
46297,127667,-1
13154,9462,1
56624,36107,1
111734,109907,-1
35116,52546,1
165384,65089,-1
45263,52895,-1
87418,69313,1
71945,22005,-1
98695,26605,1
178904,196752,1
170926,162080,-1
138319,64110,-1
77928,78371,1
8289,13516,1
35557,50044,-1
77334,1888,-1
51404,51411,1
107546,119969,1
95083,64772,-1
109869,103678,-1
3366,176124,-1
34847,38991,-1
106992,107016,1
3399,38465,-1
45471,182857,-1
158632,33053,-1
63878,10556,-1
78002,69712,1
181853,112261,-1
71439,113532,1
38406,9608,-1
36292,4040,1
62987,61519,1
170169,170199,1
120133,118288,1
63692,162995,-1
11992,118914,-1
117081,120056,1
49366,103108,-1
43072,23599,1
70686,79020,1
78099,169725,-1
195086,121439,-1
171419,144134,-1
19855,3118,-1
29851,35824,1
96400,87063,1
3397,106915,-1
76460,55268,-1
29841,139001,-1
70959,59841,1
78576,154328,-1
81576,82349,1
117710,18677,-1
164259,194533,1
189470,189472,1
50041,24343,-1
91714,107010,-1
59447,126583,-1
7160,190214,-1
87059,58280,1
22905,70711,1
113840,114025,1
10816,10827,1
110529,107633,1
42340,54202,-1
75448,18564,-1
135334,135343,1
59738,182868,-1
115274,99912,-1
49648,49415,1
119025,134070,1
28096,146979,-1
26780,37904,-1
134715,195574,-1
40123,188408,-1
9897,149329,-1
176548,84931,-1
91392,102488,1
70940,73848,1
159067,167030,1
45503,115143,-1
54259,73860,1
48189,167649,-1
161434,3579,-1
21293,135167,-1
145540,61489,-1
163669,122639,1
7501,10990,1
32729,22958,1
67126,69984,1
164263,148445,-1
163079,178340,1
100854,92649,1
182796,172735,1
58872,57871,1
111105,111120,1
138592,74434,-1
77162,14244,-1
102784,126091,-1
102508,102395,1
3361,192371,-1
124295,91869,1
81987,59668,1
15840,24823,1
21799,21205,1
65013,77004,1
82636,113296,-1
34356,34908,1
5509,37744,1
129513,108793,-1
78768,42472,1
24159,14532,1
77960,174376,-1
22310,21790,1
118909,118910,1
4991,128629,-1
68671,70579,1
56365,46356,-1
27227,57620,-1
3095,54846,-1
30691,67026,-1
38709,4592,-1
167864,174475,1
97240,181076,1
5969,6460,1
97348,97359,1
69238,41876,-1
109471,153059,-1
38675,38768,1
134973,134984,1
61767,36005,-1
30205,29126,1
187929,42930,-1
64715,39604,-1
8747,180875,-1
75120,110308,-1
83932,68801,1
31356,126037,1
22657,107584,-1
148834,147979,1
72001,4040,1
63129,63874,1
150196,150202,1
32336,193677,-1
58944,38716,1
40491,6938,-1
54771,165785,-1
135277,135279,1
30153,65934,1
162342,113179,-1
36741,47287,-1
78026,190816,-1
81216,180005,-1
41749,167637,-1
137589,138059,1
67574,68020,1
19602,110823,-1
